timestamp,cloud_provider,unified_category,cost,normalized_env,normalized_team,is_anomaly,anomaly_type,stat_z_score,stat_is_anomaly,day_of_week,is_weekend,rolling_mean_7d,rolling_std_7d,cost_ratio,ml_is_anomaly
2026-01-01,AWS,COMPUTE,1187.96,staging,coreengine,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,GCP,STORAGE,605.1,dev,analytics,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,GCP,COMPUTE,1243.59,dev,analytics,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,Azure,COMPUTE,1227.49,dev,fintech,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,Azure,STORAGE,580.29,production,fintech,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,Azure,NETWORK,298.02,production,fintech,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,GCP,NETWORK,293.49,prod,analytics,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,AWS,NETWORK,305.57,production,coreengine,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-01,AWS,STORAGE,621.63,production,dataplatform,0,none,0.0,0,3,0,0.0,0.0,0.0,1
2026-01-02,Azure,COMPUTE,1237.94,production,fintech,0,none,0.7071067811865476,0,4,0,1227.49,0.0,1.008513299427993,0
2026-01-02,GCP,STORAGE,607.69,prod,core-team,0,none,-0.7071067811865476,0,4,0,605.1,0.0,1.0042802676536067,0
2026-01-02,GCP,NETWORK,297.09,prod,analytics,0,none,-0.7071067811865476,0,4,0,293.49,0.0,1.012266141528974,1
2026-01-02,AWS,COMPUTE,1210.98,production,coreengine,0,none,-0.7071067811865475,0,4,0,1187.96,0.0,1.0193777482459194,0
2026-01-02,Azure,STORAGE,623.42,production,fintech,0,none,0.7071067811865476,0,4,0,580.29,0.0,1.074324887998675,0
2026-01-02,AWS,NETWORK,292.23,staging,dataplatform,0,none,-0.7071067811865475,0,4,0,305.57,0.0,0.9563438506285353,1
2026-01-02,GCP,COMPUTE,1218.0,prod,analytics,0,none,-0.7071067811865476,0,4,0,1243.59,0.0,0.9794224705938255,0
2026-01-02,Azure,NETWORK,299.72,production,fintech,0,none,0.7071067811865476,0,4,0,298.02,0.0,1.0057042814004338,1
2026-01-02,AWS,STORAGE,585.43,staging,coreengine,0,none,-0.7071067811865476,0,4,0,621.63,0.0,0.9417659871343728,0
2026-01-03,AWS,STORAGE,591.49,production,coreengine,0,none,0.7375453876415502,0,5,1,603.53,25.59726547895305,0.9800506854663285,0
2026-01-03,Azure,NETWORK,192.43,production,fintech,0,none,1.0294663673924092,0,5,1,298.87,1.202081528017163,0.6438585122675909,1
2026-01-03,Azure,STORAGE,557.71,production,fintech,0,none,-0.2117673738393332,0,5,1,601.855,30.497515472575753,0.9266517528864635,0
2026-01-03,AWS,NETWORK,183.03,production,coreengine,0,none,0.5858945463934389,0,5,1,298.9,9.432804461028507,0.6123452454886168,1
2026-01-03,AWS,COMPUTE,739.42,production,coreengine,0,none,-1.1131367422679808,0,5,1,1199.47,16.27759810291431,0.616455596084474,1
2026-01-03,GCP,STORAGE,582.09,dev,analytics,0,none,-0.7818617919792298,0,5,1,606.395,1.8314065632732208,0.9599188489364384,0
2026-01-03,GCP,NETWORK,181.09,dev,analytics,0,none,1.0817404747755304,0,5,1,295.28999999999996,2.545584412271567,0.6132615187354291,1
2026-01-03,GCP,COMPUTE,744.76,dev,analytics,0,none,-1.116515335805073,0,5,1,1230.795,18.094862530563773,0.6051048257012351,1
2026-01-03,Azure,COMPUTE,792.86,production,fintech,0,none,0.8081521980844734,0,5,1,1232.7150000000001,7.389265863399373,0.6431819143664033,1
2026-01-04,AWS,NETWORK,192.23,production,dataplatform,0,none,0.6989425518424248,0,6,1,260.2766666666667,67.22926842777133,0.7385602216144274,0
2026-01-04,AWS,STORAGE,552.46,staging,dataplatform,0,none,-0.4481785547562052,0,6,1,599.5166666666667,19.388928112026562,0.9215089779848938,0
2026-01-04,AWS,COMPUTE,802.97,staging,coreengine,0,none,0.2588459257872223,0,6,1,1046.1200000000001,265.8592627688567,0.7675696787407784,0
2026-01-04,Azure,NETWORK,184.51,dev,fintech,0,none,0.8416373069402525,0,6,1,263.39000000000004,61.459040832085876,0.7005201146391239,0
2026-01-04,Azure,COMPUTE,757.07,production,fintech,0,none,-1.4163884702178462,0,6,1,1086.0966666666666,254.00414885063074,0.6970558112041365,0
2026-01-04,GCP,NETWORK,189.39,dev,core-team,0,none,1.1422985065307036,0,6,1,257.2233333333333,65.95796641296128,0.7362862077201574,0
2026-01-04,GCP,STORAGE,576.68,prod,core-team,0,none,-1.0941364372442934,0,6,1,598.2933333333334,14.09212664338964,0.9638750061752036,0
2026-01-04,GCP,COMPUTE,809.17,prod,analytics,0,none,-0.322077578197443,0,6,1,1068.7833333333333,280.9039914870085,0.7570945084869601,0
2026-01-04,Azure,STORAGE,597.16,dev,fintech,0,none,0.9267930233892075,0,6,1,587.14,33.38626813526779,1.0170657591534258,0
2026-01-05,Azure,COMPUTE,1216.39,dev,fintech,0,none,0.8399775793162114,0,0,0,1003.84,264.7200570413962,1.2117369181170614,0
2026-01-05,Azure,STORAGE,608.62,production,fintech,0,none,-0.2646070882340414,0,0,0,589.645,27.716337540639543,1.032180362214886,0
2026-01-05,Azure,NETWORK,295.49,production,fintech,0,none,-0.7131018428234969,0,0,0,243.67000000000002,63.82519930769246,1.2126646196632898,0
2026-01-05,GCP,COMPUTE,1211.01,dev,analytics,0,none,-1.118860280907665,0,0,0,1003.88,263.54216424195454,1.2063294297492786,0
2026-01-05,AWS,NETWORK,294.31,staging,dataplatform,0,none,-1.0534601568912343,0,0,0,243.265,64.5815007051813,1.2098328485465297,0
2026-01-05,AWS,COMPUTE,1238.07,staging,dataplatform,0,none,-0.2067716478428774,0,0,0,985.3325,248.79960950866996,1.2564996967368913,0
2026-01-05,GCP,NETWORK,311.1,dev,analytics,0,none,-1.1713076011947516,0,0,0,240.265,63.644658063344146,1.2948202486912266,0
2026-01-05,GCP,STORAGE,610.96,prod,core-team,0,none,-1.0618852133702743,0,0,0,592.89,15.785311738026152,1.030477811559011,0
2026-01-05,AWS,STORAGE,594.01,production,coreengine,0,none,-1.391066826556136,0,0,0,587.7525,28.358470075093965,1.0106464709100094,0
2026-01-06,GCP,NETWORK,291.1,dev,core-team,0,none,-1.044290229766863,0,1,0,254.43199999999996,63.57280330455783,1.1441170472221638,0
2026-01-06,AWS,STORAGE,600.45,production,coreengine,0,none,0.6593217613569163,0,1,0,589.004,24.718077999715106,1.0194327879024119,0
2026-01-06,GCP,COMPUTE,1198.18,prod,core-team,0,none,0.5803546684431129,0,1,0,1045.306,246.31569505413174,1.1462480733273503,0
